Ticket ID,Priority,Support Team,Opened Date,Resolved Date,SLA Target Hours,Actual Resolution Hours,Breached SLA,Breach Reason,Incident Category,Business Service,Location,Channel,Customer Segment,Impact,Urgency,Opened Timestamp,Resolved Timestamp,SLA Variance Hours,Reassignment Count,Escalated,Major Incident,Resolution Code,Month,Week of Month,Day of Week
INC1128,P3,Network,2026-04-06,2026-04-08,24,31.7,Yes,Vendor dependency,DNS Issue,Firewall Connectivity,Monterrey,Email,Sales,Low,Medium,2026-04-06 17:10,2026-04-08 00:52,7.7,1,Yes,No,Vendor fix implemented,April 2026,1,Monday
INC1109,P2,Network,2026-04-07,2026-04-07,8,1.8,No,N/A,Packet Loss,Corporate LAN,Puebla,Monitoring,Retail Branches,High,Medium,2026-04-07 08:40,2026-04-07 10:28,-6.2,0,No,No,Service restored,April 2026,1,Tuesday
INC1174,P2,Network,2026-04-07,2026-04-07,8,2.1,No,N/A,VPN Failure,Wi-Fi,Remote,Monitoring,External Customers,Medium,High,2026-04-07 11:25,2026-04-07 13:31,-5.9,0,No,No,Configuration corrected,April 2026,1,Tuesday
INC1116,P3,Workplace,2026-04-07,2026-04-08,24,13.6,No,N/A,Endpoint Performance,Laptop/Desktop,Mexico City,Self-Service Portal,Finance,Medium,Low,2026-04-07 14:00,2026-04-08 03:36,-10.4,0,No,No,Service restored,April 2026,1,Tuesday
INC1162,P4,Network,2026-04-07,2026-04-09,72,43.0,No,N/A,Latency,Corporate LAN,Mexico City,Chat,Retail Branches,Low,Medium,2026-04-07 14:05,2026-04-09 09:05,-29.0,0,No,No,Service restored,April 2026,1,Tuesday
INC1045,P4,Network,2026-04-07,2026-04-08,72,29.1,No,N/A,Connectivity Issue,VPN,Guadalajara,Email,Internal Operations,Low,Low,2026-04-07 15:00,2026-04-08 20:06,-42.9,0,No,No,Resolved through workaround,April 2026,1,Tuesday
INC1150,P3,Network,2026-04-07,2026-04-09,24,36.9,Yes,Change-related issue,VPN Failure,Firewall Connectivity,Mexico City,Self-Service Portal,Internal Operations,Low,Medium,2026-04-07 15:45,2026-04-09 04:39,12.9,4,Yes,No,Rollback completed,April 2026,1,Tuesday
INC1132,P1,Service Desk,2026-04-07,2026-04-07,4,7.3,Yes,High ticket volume,Account Lockout,Access Requests,Toronto,Email,Internal Operations,High,High,2026-04-07 16:35,2026-04-07 23:53,3.3,3,Yes,Yes,Queue cleared,April 2026,1,Tuesday
INC1122,P2,Application,2026-04-07,2026-04-07,8,3.2,No,N/A,Data Issue,Customer Mobile App,Monterrey,Email,Executive Users,Medium,Medium,2026-04-07 19:20,2026-04-07 22:32,-4.8,1,Yes,No,Permanent fix applied,April 2026,1,Tuesday
INC1152,P4,Network,2026-04-08,2026-04-12,72,103.9,Yes,Change-related issue,VPN Failure,Firewall Connectivity,Mexico City,Phone,Executive Users,Low,Medium,2026-04-08 08:05,2026-04-12 15:59,31.9,3,Yes,No,Rollback completed,April 2026,2,Wednesday
INC1120,P3,Service Desk,2026-04-08,2026-04-08,24,11.8,No,N/A,Access Issue,IT Service Portal,Remote,Phone,Internal Operations,Low,Medium,2026-04-08 11:20,2026-04-08 23:08,-12.2,0,No,No,Configuration corrected,April 2026,2,Wednesday
INC1126,P4,Application,2026-04-08,2026-04-12,72,91.9,Yes,Change-related issue,Application Error,ERP Platform,Mexico City,Self-Service Portal,Sales,Low,Low,2026-04-08 11:30,2026-04-12 07:24,19.9,2,Yes,No,Rollback completed,April 2026,2,Wednesday
INC1080,P4,Application,2026-04-08,2026-04-12,72,107.8,Yes,Change-related issue,Deployment Defect,CRM Portal,Remote,Monitoring,Sales,Low,Medium,2026-04-08 11:50,2026-04-12 23:38,35.8,1,Yes,No,Rollback completed,April 2026,2,Wednesday
INC1044,P2,Infrastructure,2026-04-08,2026-04-09,8,16.4,Yes,Monitoring gap,Backup Failure,Storage Platform,Toronto,Phone,Finance,High,High,2026-04-08 13:35,2026-04-09 05:59,8.4,2,Yes,No,Monitoring rule updated,April 2026,2,Wednesday
INC1074,P4,Service Desk,2026-04-08,2026-04-09,72,19.6,No,N/A,Account Lockout,End User Support,Remote,Chat,Retail Branches,Low,Medium,2026-04-08 13:35,2026-04-09 09:11,-52.4,0,No,No,Resolved through workaround,April 2026,2,Wednesday
INC1037,P2,Network,2026-04-08,2026-04-08,8,2.6,No,N/A,Connectivity Issue,VPN,Monterrey,Self-Service Portal,Finance,Medium,Medium,2026-04-08 14:10,2026-04-08 16:46,-5.4,1,No,No,Permanent fix applied,April 2026,2,Wednesday
INC1034,P3,Application,2026-04-08,2026-04-10,24,33.6,Yes,Vendor dependency,Application Error,ERP Platform,Toronto,Email,Internal Operations,Low,Low,2026-04-08 15:05,2026-04-10 00:41,9.6,3,Yes,No,Vendor fix implemented,April 2026,2,Wednesday
INC1028,P2,Service Desk,2026-04-09,2026-04-09,8,4.9,No,N/A,Password Reset,Password Management,Remote,Self-Service Portal,External Customers,High,Medium,2026-04-09 08:40,2026-04-09 13:34,-3.1,0,No,No,Known error matched,April 2026,2,Thursday
INC1124,P2,Workplace,2026-04-09,2026-04-10,8,18.2,Yes,Hardware replacement delay,Email/Collaboration,Laptop/Desktop,Puebla,Email,Internal Operations,High,High,2026-04-09 12:55,2026-04-10 07:07,10.2,3,Yes,No,Hardware replaced,April 2026,2,Thursday
INC1020,P3,Application,2026-04-09,2026-04-11,24,43.1,Yes,Knowledge gap,Deployment Defect,ERP Platform,Guadalajara,Self-Service Portal,Internal Operations,Medium,Low,2026-04-09 17:15,2026-04-11 12:21,19.1,2,Yes,No,Knowledge article created,April 2026,2,Thursday
INC1035,P2,Service Desk,2026-04-09,2026-04-10,8,5.9,No,N/A,How-to Request,IT Service Portal,Monterrey,Phone,Retail Branches,High,Medium,2026-04-09 18:45,2026-04-10 00:39,-2.1,0,Yes,No,Permanent fix applied,April 2026,2,Thursday
INC1041,P4,Application,2026-04-10,2026-04-11,72,39.4,No,N/A,Application Error,CRM Portal,Mexico City,Chat,Finance,Low,Low,2026-04-10 07:15,2026-04-11 22:39,-32.6,0,No,No,User guidance provided,April 2026,2,Friday
INC1177,P2,Network,2026-04-10,2026-04-10,8,3.8,No,N/A,VPN Failure,Firewall Connectivity,Mexico City,Monitoring,External Customers,Medium,Medium,2026-04-10 10:00,2026-04-10 13:48,-4.2,0,Yes,No,Known error matched,April 2026,2,Friday
INC1178,P2,Network,2026-04-10,2026-04-10,8,11.0,Yes,Change-related issue,Latency,WAN Connectivity,Remote,Phone,Executive Users,Medium,Medium,2026-04-10 10:50,2026-04-10 21:50,3.0,1,Yes,No,Rollback completed,April 2026,2,Friday
INC1022,P2,Workplace,2026-04-10,2026-04-10,8,5.4,No,N/A,Device Issue,Laptop/Desktop,Mexico City,Monitoring,Executive Users,Medium,High,2026-04-10 14:25,2026-04-10 19:49,-2.6,0,Yes,No,Known error matched,April 2026,2,Friday
INC1180,P3,Service Desk,2026-04-10,2026-04-11,24,13.2,No,N/A,Account Lockout,End User Support,Toronto,Email,Sales,Low,Low,2026-04-10 15:15,2026-04-11 04:27,-10.8,0,No,No,Known error matched,April 2026,2,Friday
INC1049,P3,Application,2026-04-10,2026-04-11,24,12.6,No,N/A,Deployment Defect,Customer Mobile App,Mexico City,Phone,Internal Operations,Medium,Low,2026-04-10 16:30,2026-04-11 05:06,-11.4,0,No,No,Service restored,April 2026,2,Friday
INC1155,P2,Network,2026-04-10,2026-04-11,8,12.6,Yes,Vendor dependency,DNS Issue,Wi-Fi,Remote,Phone,Finance,Medium,High,2026-04-10 16:50,2026-04-11 05:26,4.6,3,Yes,No,Vendor fix implemented,April 2026,2,Friday
INC1048,P3,Service Desk,2026-04-10,2026-04-11,24,8.7,No,N/A,Account Lockout,End User Support,Mexico City,Monitoring,Retail Branches,Low,Medium,2026-04-10 18:30,2026-04-11 03:12,-15.3,0,No,No,Known error matched,April 2026,2,Friday
INC1033,P4,Network,2026-04-11,2026-04-14,72,64.3,No,N/A,Packet Loss,Wi-Fi,Mexico City,Chat,Retail Branches,Low,Low,2026-04-11 12:00,2026-04-14 04:18,-7.7,0,No,No,Known error matched,April 2026,2,Saturday
INC1108,P3,Application,2026-04-12,2026-04-12,24,11.7,No,N/A,Integration Failure,Billing System,Monterrey,Self-Service Portal,External Customers,Medium,Medium,2026-04-12 11:40,2026-04-12 23:22,-12.3,0,No,No,User guidance provided,April 2026,2,Sunday
INC1115,P3,Network,2026-04-12,2026-04-14,24,30.0,Yes,Vendor dependency,DNS Issue,WAN Connectivity,Remote,Self-Service Portal,Retail Branches,Medium,Low,2026-04-12 18:15,2026-04-14 00:15,6.0,1,Yes,No,Vendor fix implemented,April 2026,2,Sunday
INC1157,P4,Network,2026-04-13,2026-04-14,72,39.6,No,N/A,Connectivity Issue,WAN Connectivity,Monterrey,Monitoring,Retail Branches,Low,Low,2026-04-13 06:20,2026-04-14 21:56,-32.4,0,No,No,Permanent fix applied,April 2026,2,Monday
INC1138,P3,Application,2026-04-13,2026-04-14,24,18.5,No,N/A,Application Error,Reporting Platform,Toronto,Self-Service Portal,Retail Branches,Low,Low,2026-04-13 08:40,2026-04-14 03:10,-5.5,0,No,No,No fault found,April 2026,2,Monday
INC1134,P4,Application,2026-04-13,2026-04-14,72,25.0,No,N/A,Deployment Defect,ERP Platform,Remote,Email,Retail Branches,Low,Low,2026-04-13 11:20,2026-04-14 12:20,-47.0,0,No,No,Permanent fix applied,April 2026,2,Monday
INC1017,P3,Service Desk,2026-04-13,2026-04-14,24,20.7,No,N/A,Password Reset,Password Management,Mexico City,Phone,Internal Operations,Low,Low,2026-04-13 11:45,2026-04-14 08:27,-3.3,0,No,No,Configuration corrected,April 2026,2,Monday
INC1093,P3,Workplace,2026-04-13,2026-04-14,24,19.3,No,N/A,Endpoint Performance,Microsoft 365,Mexico City,Phone,Internal Operations,Low,Low,2026-04-13 12:35,2026-04-14 07:53,-4.7,0,No,No,Permanent fix applied,April 2026,2,Monday
INC1051,P3,Service Desk,2026-04-13,2026-04-13,24,9.9,No,N/A,Account Lockout,IT Service Portal,Guadalajara,Phone,Executive Users,Low,Medium,2026-04-13 13:15,2026-04-13 23:09,-14.1,0,No,No,Known error matched,April 2026,2,Monday
INC1078,P3,Service Desk,2026-04-13,2026-04-14,24,19.3,No,N/A,Access Issue,IT Service Portal,Remote,Phone,External Customers,Low,Medium,2026-04-13 19:45,2026-04-14 15:03,-4.7,0,No,No,Permanent fix applied,April 2026,2,Monday
INC1154,P2,Service Desk,2026-04-14,2026-04-14,8,14.1,Yes,Pending user confirmation,How-to Request,End User Support,Remote,Monitoring,Sales,Medium,Medium,2026-04-14 08:20,2026-04-14 22:26,6.1,3,Yes,No,Closed after user confirmation,April 2026,2,Tuesday
INC1161,P2,Network,2026-04-14,2026-04-14,8,1.6,No,N/A,Connectivity Issue,Firewall Connectivity,Mexico City,Self-Service Portal,Retail Branches,High,Medium,2026-04-14 10:50,2026-04-14 12:26,-6.4,0,No,No,Known error matched,April 2026,2,Tuesday
INC1099,P2,Network,2026-04-14,2026-04-15,8,14.4,Yes,Change-related issue,VPN Failure,VPN,Guadalajara,Email,External Customers,Medium,Medium,2026-04-14 14:25,2026-04-15 04:49,6.4,2,Yes,No,Rollback completed,April 2026,2,Tuesday
INC1113,P3,Service Desk,2026-04-14,2026-04-15,24,18.9,No,N/A,Account Lockout,Password Management,Guadalajara,Self-Service Portal,Finance,Low,Medium,2026-04-14 15:20,2026-04-15 10:14,-5.1,0,No,No,Permanent fix applied,April 2026,2,Tuesday
INC1043,P3,Network,2026-04-14,2026-04-15,24,9.1,No,N/A,DNS Issue,Firewall Connectivity,Remote,Monitoring,Sales,Medium,Medium,2026-04-14 15:40,2026-04-15 00:46,-14.9,0,No,No,Configuration corrected,April 2026,2,Tuesday
INC1070,P3,Network,2026-04-14,2026-04-15,24,17.4,No,N/A,Connectivity Issue,WAN Connectivity,Mexico City,Self-Service Portal,Retail Branches,Medium,Medium,2026-04-14 16:30,2026-04-15 09:54,-6.6,0,No,No,Permanent fix applied,April 2026,2,Tuesday
INC1102,P2,Network,2026-04-14,2026-04-15,8,6.7,No,N/A,Latency,VPN,Mexico City,Monitoring,Retail Branches,High,High,2026-04-14 23:45,2026-04-15 06:27,-1.3,1,No,No,Permanent fix applied,April 2026,2,Tuesday
INC1054,P4,Application,2026-04-15,2026-04-16,72,33.8,No,N/A,Performance Degradation,Billing System,Mexico City,Monitoring,Retail Branches,Low,Low,2026-04-15 07:05,2026-04-16 16:53,-38.2,0,No,No,Permanent fix applied,April 2026,3,Wednesday
INC1016,P2,Infrastructure,2026-04-15,2026-04-15,8,4.6,No,N/A,Capacity Alert,Backup Platform,Mexico City,Monitoring,Retail Branches,Medium,Medium,2026-04-15 09:30,2026-04-15 14:06,-3.4,2,Yes,No,User guidance provided,April 2026,3,Wednesday
INC1025,P4,Service Desk,2026-04-15,2026-04-17,72,56.9,No,N/A,Account Lockout,End User Support,Mexico City,Chat,External Customers,Low,Low,2026-04-15 11:10,2026-04-17 20:04,-15.1,0,No,No,Known error matched,April 2026,3,Wednesday
INC1114,P3,Infrastructure,2026-04-15,2026-04-15,24,9.0,No,N/A,Storage Latency,Backup Platform,Mexico City,Chat,Executive Users,Low,Medium,2026-04-15 12:35,2026-04-15 21:35,-15.0,0,No,No,Resolved through workaround,April 2026,3,Wednesday
INC1084,P4,Infrastructure,2026-04-15,2026-04-19,72,100.9,Yes,Capacity constraint,Server Alert,Database Services,Toronto,Chat,Internal Operations,Low,Low,2026-04-15 12:40,2026-04-19 17:34,28.9,1,Yes,No,Capacity increased,April 2026,3,Wednesday
INC1042,P4,Application,2026-04-15,2026-04-17,72,49.1,No,N/A,Data Issue,Customer Mobile App,Toronto,Self-Service Portal,Finance,Low,Low,2026-04-15 12:55,2026-04-17 14:01,-22.9,0,No,No,No fault found,April 2026,3,Wednesday
INC1169,P4,Application,2026-04-15,2026-04-18,72,58.7,No,N/A,Application Error,ERP Platform,Mexico City,Email,Retail Branches,Low,Medium,2026-04-15 14:05,2026-04-18 00:47,-13.3,0,No,No,Service restored,April 2026,3,Wednesday
INC1171,P2,Network,2026-04-15,2026-04-15,8,6.2,No,N/A,DNS Issue,Firewall Connectivity,Monterrey,Chat,Sales,High,High,2026-04-15 14:25,2026-04-15 20:37,-1.8,1,No,No,Known error matched,April 2026,3,Wednesday
INC1146,P4,Workplace,2026-04-15,2026-04-19,72,102.4,Yes,Hardware replacement delay,Email/Collaboration,Collaboration Tools,Remote,Phone,Internal Operations,Low,Medium,2026-04-15 17:25,2026-04-19 23:49,30.4,2,Yes,No,Hardware replaced,April 2026,3,Wednesday
INC1067,P3,Infrastructure,2026-04-15,2026-04-16,24,13.5,No,N/A,Storage Latency,Storage Platform,Toronto,Self-Service Portal,Retail Branches,Medium,Low,2026-04-15 18:00,2026-04-16 07:30,-10.5,0,No,No,User guidance provided,April 2026,3,Wednesday
INC1031,P1,Infrastructure,2026-04-15,2026-04-16,4,5.0,Yes,Change-related issue,Database Issue,Server Compute,Monterrey,Monitoring,Sales,High,High,2026-04-15 19:20,2026-04-16 00:20,1.0,1,Yes,Yes,Rollback completed,April 2026,3,Wednesday
INC1112,P2,Network,2026-04-15,2026-04-16,8,13.4,Yes,Change-related issue,Packet Loss,WAN Connectivity,Mexico City,Chat,External Customers,High,High,2026-04-15 19:40,2026-04-16 09:04,5.4,2,Yes,No,Rollback completed,April 2026,3,Wednesday
INC1097,P2,Application,2026-04-16,2026-04-16,8,5.2,No,N/A,Integration Failure,Reporting Platform,Mexico City,Self-Service Portal,Retail Branches,Medium,Medium,2026-04-16 00:45,2026-04-16 05:57,-2.8,0,Yes,No,User guidance provided,April 2026,3,Thursday
INC1160,P4,Infrastructure,2026-04-16,2026-04-18,72,51.9,No,N/A,Database Issue,Database Services,Puebla,Self-Service Portal,Finance,Low,Low,2026-04-16 10:40,2026-04-18 14:34,-20.1,0,No,No,Resolved through workaround,April 2026,3,Thursday
INC1060,P3,Workplace,2026-04-16,2026-04-16,24,11.2,No,N/A,Device Issue,Microsoft 365,Mexico City,Phone,Internal Operations,Medium,Low,2026-04-16 12:00,2026-04-16 23:12,-12.8,0,No,No,User guidance provided,April 2026,3,Thursday
INC1129,P1,Application,2026-04-16,2026-04-16,4,7.9,Yes,Knowledge gap,Integration Failure,Reporting Platform,Mexico City,Email,Internal Operations,High,High,2026-04-16 14:00,2026-04-16 21:54,3.9,2,Yes,Yes,Knowledge article created,April 2026,3,Thursday
INC1065,P1,Application,2026-04-16,2026-04-16,4,1.4,No,N/A,Data Issue,Billing System,Puebla,Monitoring,External Customers,High,High,2026-04-16 16:50,2026-04-16 18:14,-2.6,0,Yes,No,Resolved through workaround,April 2026,3,Thursday
INC1144,P3,Workplace,2026-04-16,2026-04-17,24,15.8,No,N/A,Software Install,Printing Services,Monterrey,Monitoring,External Customers,Low,Medium,2026-04-16 22:20,2026-04-17 14:08,-8.2,0,No,No,Permanent fix applied,April 2026,3,Thursday
INC1121,P1,Network,2026-04-17,2026-04-17,4,2.9,No,N/A,VPN Failure,Wi-Fi,Mexico City,Monitoring,Retail Branches,High,High,2026-04-17 01:35,2026-04-17 04:29,-1.1,0,Yes,No,Resolved through workaround,April 2026,3,Friday
INC1118,P2,Workplace,2026-04-17,2026-04-17,8,4.6,No,N/A,Printer Issue,Laptop/Desktop,Toronto,Monitoring,Retail Branches,Medium,High,2026-04-17 06:20,2026-04-17 10:56,-3.4,0,No,No,Service restored,April 2026,3,Friday
INC1088,P3,Network,2026-04-17,2026-04-17,24,11.7,No,N/A,Connectivity Issue,Corporate LAN,Puebla,Self-Service Portal,Internal Operations,Medium,Low,2026-04-17 09:10,2026-04-17 20:52,-12.3,0,No,No,No fault found,April 2026,3,Friday
INC1092,P2,Application,2026-04-17,2026-04-17,8,4.8,No,N/A,Application Error,Reporting Platform,Guadalajara,Email,External Customers,High,Medium,2026-04-17 11:40,2026-04-17 16:28,-3.2,0,No,No,No fault found,April 2026,3,Friday
INC1117,P1,Workplace,2026-04-17,2026-04-17,4,6.6,Yes,Hardware replacement delay,Device Issue,VDI,Guadalajara,Chat,Internal Operations,High,High,2026-04-17 16:40,2026-04-17 23:16,2.6,1,Yes,Yes,Hardware replaced,April 2026,3,Friday
INC1147,P2,Service Desk,2026-04-19,2026-04-19,8,3.3,No,N/A,Password Reset,Access Requests,Guadalajara,Email,Internal Operations,Medium,Medium,2026-04-19 03:05,2026-04-19 06:23,-4.7,1,Yes,No,Permanent fix applied,April 2026,3,Sunday
INC1040,P4,Application,2026-04-19,2026-04-21,72,47.4,No,N/A,Integration Failure,Reporting Platform,Puebla,Self-Service Portal,Finance,Low,Low,2026-04-19 14:30,2026-04-21 13:54,-24.6,0,No,No,Permanent fix applied,April 2026,3,Sunday
INC1011,P1,Infrastructure,2026-04-19,2026-04-19,4,5.4,Yes,Vendor dependency,Capacity Alert,Server Compute,Guadalajara,Monitoring,Internal Operations,High,High,2026-04-19 15:35,2026-04-19 20:59,1.4,2,Yes,Yes,Vendor fix implemented,April 2026,3,Sunday
INC1106,P2,Network,2026-04-19,2026-04-19,8,3.6,No,N/A,VPN Failure,VPN,Monterrey,Chat,Retail Branches,High,Medium,2026-04-19 17:50,2026-04-19 21:26,-4.4,0,No,No,No fault found,April 2026,3,Sunday
INC1001,P1,Network,2026-04-20,2026-04-20,4,3.5,No,N/A,VPN Failure,VPN,Puebla,Chat,Retail Branches,High,High,2026-04-20 07:10,2026-04-20 10:40,-0.5,0,No,No,Service restored,April 2026,3,Monday
INC1030,P4,Application,2026-04-20,2026-04-23,72,78.9,Yes,Change-related issue,Integration Failure,ERP Platform,Remote,Self-Service Portal,External Customers,Low,Low,2026-04-20 09:10,2026-04-23 16:04,6.9,2,Yes,No,Rollback completed,April 2026,3,Monday
INC1179,P2,Workplace,2026-04-20,2026-04-20,8,4.6,No,N/A,Email/Collaboration,Printing Services,Toronto,Phone,Internal Operations,High,Medium,2026-04-20 09:25,2026-04-20 14:01,-3.4,2,Yes,No,Service restored,April 2026,3,Monday
INC1026,P2,Network,2026-04-20,2026-04-20,8,4.4,No,N/A,DNS Issue,VPN,Toronto,Monitoring,Internal Operations,Medium,Medium,2026-04-20 10:55,2026-04-20 15:19,-3.6,0,No,No,Permanent fix applied,April 2026,3,Monday
INC1139,P3,Application,2026-04-20,2026-04-21,24,28.8,Yes,Delayed troubleshooting,Performance Degradation,Reporting Platform,Remote,Email,Internal Operations,Low,Low,2026-04-20 12:10,2026-04-21 16:58,4.8,2,Yes,No,Permanent fix applied,April 2026,3,Monday
INC1002,P2,Application,2026-04-20,2026-04-21,8,10.0,Yes,Delayed escalation,Integration Failure,ERP Platform,Toronto,Self-Service Portal,Internal Operations,Medium,High,2026-04-20 15:45,2026-04-21 01:45,2.0,1,Yes,No,Escalated and resolved,April 2026,3,Monday
INC1143,P3,Application,2026-04-20,2026-04-20,24,7.0,No,N/A,Deployment Defect,Customer Mobile App,Mexico City,Chat,Internal Operations,Medium,Low,2026-04-20 15:50,2026-04-20 22:50,-17.0,0,No,No,Configuration corrected,April 2026,3,Monday
INC1036,P2,Security,2026-04-20,2026-04-21,8,5.1,No,N/A,Security Alert,Email Security,Mexico City,Self-Service Portal,Retail Branches,Medium,Medium,2026-04-20 20:55,2026-04-21 02:01,-2.9,0,Yes,No,Configuration corrected,April 2026,3,Monday
INC1003,P3,Service Desk,2026-04-21,2026-04-23,24,30.0,Yes,High ticket volume,Misrouted Ticket,Access Requests,Puebla,Self-Service Portal,Retail Branches,Medium,Medium,2026-04-21 10:45,2026-04-22 16:45,6.0,3,Yes,No,Queue cleared,April 2026,3,Tuesday
